Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Pushkar Sinha,STRIKERS,All-Rounder,Right-arm fast,RHB,7,5.631,20.730,0.224,26.585
Ashish Pandit,PHOENIX,All-Rounder,Right-arm medium,RHB,7,5.073,20.042,1.400,26.515
Suchit Awalgaonkar,PHOENIX,,Right-arm medium,RHB,7,7.105,15.723,1.904,24.732
Ravi,STRIKERS,None,Right-arm fast,RHB,7,0.192,20.220,0.000,20.412
Vishal Ratan Singh,MAVERICKS,All-Rounder,Right-arm medium,RHB,6,3.992,13.487,0.840,18.319
Aradhya Deshmukh,MAVERICKS,Middle-order batter,Right-arm Off Break,RHB,6,1.494,15.484,0.504,17.482
Prasad Kale KP45,STRIKERS,All-Rounder,Right-arm medium,RHB,7,4.305,10.312,2.464,17.081
Amit Deshmukh,PHOENIX,,Right-arm medium,RHB,7,4.474,10.507,1.344,16.325
Nilesh Changade,Royal Warriors,All-Rounder,Right-arm medium,RHB,6,3.679,11.470,0.000,15.149
Amol Khodke,MAVERICKS,Top-order batter,Right-arm medium,RHB,6,5.893,5.522,3.024,14.439
Gaurav Mishra,Royal Warriors,All-Rounder,Right-arm medium,RHB,6,3.835,6.644,3.584,14.063
Rushikesh Saraf,Royal Warriors,Opening batter,Right-arm fast,RHB,6,6.058,1.446,1.680,9.184
Omkar Sinha,MAVERICKS,Wicket-keeper batter,Right-arm Off Break,RHB,6,6.769,0.000,2.240,9.009
Jayant Parkhi,STRIKERS,Wicket-keeper,Right-arm fast,RHB,7,4.600,0.000,4.088,8.688
Swapnil Kortikar Arcus,Royal Warriors,,Right-arm Leg Break,RHB,6,0.827,6.937,0.448,8.212
Rohit V. Abbigeri,Royal Warriors,Middle-order batter,Right-arm Off Break,RHB,6,6.415,0.000,0.504,6.919
Nitesh Gondhalekar,Royal Warriors,Bowler,Right-arm fast,RHB,6,0.866,5.717,0.000,6.583
Mitesh Kumar,Royal Warriors,,,RHB,6,2.760,0.000,3.528,6.288
Arun Raghuwanshi,PHOENIX,All-Rounder,Right-arm medium,RHB,6,2.728,0.000,3.378,6.106
Swapnil Matte,STRIKERS,Wicket-keeper batter,None,RHB,7,3.473,0.000,2.464,5.937
Bobby Venugopal,PHOENIX,,,RHB,7,2.964,0.000,2.912,5.876
Prashant Puri,PHOENIX,,Right-arm fast,RHB,6,4.221,0.043,1.120,5.384
Dhiraj Deshmukh,MAVERICKS,,Right-arm medium,RHB,6,3.751,0.000,1.120,4.871
Amer Deep Gurung,MAVERICKS,,Right-arm medium,RHB,6,0.484,1.305,2.520,4.309
Sudarshan Patil,STRIKERS,All-Rounder,Right-arm medium,RHB,4,2.576,0.000,1.120,3.696
Shahaji Dhumal,PHOENIX,All-Rounder,Right-arm fast,RHB,6,1.825,0.000,1.624,3.449
Raghav,Royal Warriors,,Right-arm fast,RHB,3,0.640,0.000,1.680,2.320
Ganesh Shaha,MAVERICKS,Middle-order batter,Right-arm medium,RHB,3,0.000,0.000,2.128,2.128
Sagar Jadhav,MAVERICKS,All-Rounder,Right-arm Leg Break,RHB,5,0.788,0.000,1.288,2.076
Pranav Kamat,PHOENIX,Middle-order batter,None,LHB,1,0.000,0.000,1.400,1.400
Pushkar Ramdasi,STRIKERS,Top-order batter,None,RHB,5,1.096,0.000,0.280,1.376
Aaditya Patel Rahul Arcus,MAVERICKS,,Right-arm fast,RHB,2,0.092,0.000,1.120,1.212
Anagh Garg,STRIKERS,None,Right-arm medium,RHB,4,0.209,0.000,0.672,0.881
Abhir Joshi,PHOENIX,,,RHB,2,0.761,0.000,0.000,0.761
Nikhil Dhundale ,Royal Warriors,,,RHB,3,0.206,0.000,0.280,0.486
