player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
17814423,Amit K,3067973,MAVERICKS,6,1,3,2,0,1,0,4,7
19940642,Dinesh Patil Rahul Arcus,3980746,Royal Challengers,7,6,0,1,0,0,0,6,7
16132743,Bobby Venugopal,3980744,Vikings,5,0,0,0,1,5,0,0,5
8745736,Vishal,3067973,MAVERICKS,6,3,0,1,0,0,1,4,5
20574836,Shirish Nimbalkar Arcus B1107,3067979,PHOENIX,4,2,0,2,0,0,0,2,4
12299664,Sudarshan,3067975,Royal Warriors,6,0,3,0,0,1,0,3,4
13754939,Anand Sitaram Shinde,3067973,MAVERICKS,6,2,0,1,0,0,1,3,4
4746732,Aradhya Deshmukh,3980746,Royal Challengers,7,3,0,1,0,0,0,3,4
19940638,Bibhu Panda Rahul Arcus,3980746,Royal Challengers,7,0,2,2,2,0,0,2,4
6521732,Gaurav Pillai,3980744,Vikings,5,2,0,1,0,0,0,2,3
16132079,Gaurav Mishra,3067975,Royal Warriors,6,3,0,0,0,0,0,3,3
13737199,Monty Singh,3980746,Royal Challengers,7,3,0,0,0,0,0,3,3
10654571,Arun Raghuwanshi,3980746,Royal Challengers,7,2,0,1,0,0,0,2,3
3552794,Prasad Kunal Icon,3067980,STRIKERS,4,2,0,0,1,0,0,2,2
20121723,Jemin Arcus,3067980,STRIKERS,4,2,0,0,0,0,0,2,2
2124876,Pushkar Sinha,3067980,STRIKERS,4,0,0,2,1,0,0,0,2
2328786,Saurabh,3067979,PHOENIX,4,0,0,2,0,0,0,0,2
10392885,Suchit Awalgaonkar,3067979,PHOENIX,4,2,0,0,1,0,0,2,2
10393119,Amit Deshmukh,3067979,PHOENIX,4,1,0,1,0,0,0,1,2
16163644,Jayant Parkhi,3067980,STRIKERS,4,0,1,1,3,0,0,1,2
20339413,Gaurav Nayyar,3980744,Vikings,5,2,0,0,0,0,0,2,2
4249093,Ravi,3980744,Vikings,5,1,0,1,0,0,0,1,2
2798485,Dhiraj Deshmukh,3980744,Vikings,5,2,0,0,0,0,0,2,2
1365178,Omkar Sinha,3067973,MAVERICKS,6,0,1,0,0,1,0,1,2
1519669,Ajit,3980746,Royal Challengers,7,2,0,0,0,0,0,2,2
20121791,Karan,3067980,STRIKERS,4,0,0,1,0,0,0,0,1
16180968,Sagar Jadhav,3067979,PHOENIX,4,0,0,0,1,1,0,0,1
4814441,Ganesh Shaha,3067980,STRIKERS,4,0,0,1,0,0,0,0,1
6406110,Ashish Pandit,3067979,PHOENIX,4,0,0,1,1,0,0,0,1
20339498,Nikhil,3980744,Vikings,5,1,0,0,0,0,0,1,1
20339476,Dayanand Patil,3980744,Vikings,5,0,0,1,0,0,0,0,1
16132644,Swapnil Matte,3980744,Vikings,5,1,0,0,0,0,0,1,1
19940557,Harsh Bhandari Rahul Arcus,3067973,MAVERICKS,6,0,0,1,0,0,0,0,1
850817,Eqhrishikesh Joshi,3067973,MAVERICKS,6,1,0,0,0,0,0,1,1
19941285,Vinit Karande B1205 Rahul Arcus,3067975,Royal Warriors,6,1,0,0,0,0,0,1,1
12298915,Chandan Rahul Arcus,3067975,Royal Warriors,6,1,0,0,0,0,0,1,1
16273443,Swapnil Kortikar Arcus,3067973,MAVERICKS,6,1,0,0,0,0,0,1,1
16273260,Pranav Kamat,3067975,Royal Warriors,6,1,0,0,0,0,0,1,1
13817283,Sahil Jadhavar,3067973,MAVERICKS,6,1,0,0,0,0,0,1,1
16199928,Pushkar Ramdasi,3067975,Royal Warriors,6,1,0,0,0,0,0,1,1
10654570,Nilesh Changade,3067975,Royal Warriors,6,1,0,0,0,0,0,1,1
10703577,Yogesh Pandit,3980746,Royal Challengers,7,1,0,0,0,0,0,1,1
3881514,Raghav,3980746,Royal Challengers,7,0,0,1,0,0,0,0,1
17007577,Sachin,3067980,STRIKERS,4,0,0,0,0,0,0,0,0
20121996,Vikas Kulkarni D602,3067980,STRIKERS,4,0,0,0,0,0,0,0,0
16163736,Abhir Joshi,3067979,PHOENIX,4,0,0,0,0,0,0,0,0
19941273,Ketan Badhan,3067980,STRIKERS,4,0,0,0,0,0,0,0,0
19940577,Shailesh D Wing Rahul Arcus,3067979,PHOENIX,4,0,0,0,0,0,0,0,0
16199977,Shahaji Dhumal,3067979,PHOENIX,4,0,0,0,0,0,0,0,0
16132609,Nitesh Gondhalekar,3980744,Vikings,5,0,0,0,0,0,0,0,0
20047642,Amit Moon,3067975,Royal Warriors,6,0,0,0,0,0,0,0,0
10394211,Vaibhav Patil,3067973,MAVERICKS,6,0,0,0,0,0,0,0,0
20323753,Meahul Arcus,3067975,Royal Warriors,6,0,0,0,0,0,0,0,0
2290558,Rohit V Abbigeri,3980746,Royal Challengers,7,0,0,0,0,0,0,0,0
